census_tract_id_2020,shotspotter,property,violent,other
39061000200,105,442,284,29
39061000700,23,6457,2051,285
39061000900,101,1776,1076,32
39061001000,160,3834,1664,83
39061001100,55,998,408,25
39061001600,150,2262,1371,31
39061001700,258,1160,901,28
39061001800,48,1068,412,23
39061001900,89,1914,521,52
39061002000,41,764,123,27
39061002200,168,2160,1260,73
39061002300,189,1654,798,46
39061002500,175,3146,746,59
39061002600,156,3255,931,56
39061002700,114,1470,473,32
39061002800,10,2240,975,130
39061002901,25,1963,334,31
39061002902,4,2126,602,53
39061003000,29,3080,778,85
39061003200,43,2003,881,47
39061003300,96,2436,950,45
39061003600,342,812,608,21
39061003700,213,2219,1055,50
39061003800,267,1374,970,64
39061003900,229,905,620,45
39061004000,34,1218,488,81
39061004100,65,1077,291,60
39061004200,24,1050,262,66
39061004602,0,2300,933,128
39061004603,0,639,207,53
39061004604,0,1277,588,70
39061004605,0,945,397,61
39061004703,0,2093,432,122
39061004800,0,602,115,125
39061004900,0,2289,335,258
39061005000,0,1989,469,211
39061005100,0,581,199,93
39061005200,0,2034,386,133
39061005301,0,2150,375,124
39061005302,0,864,232,84
39061005500,0,2589,1478,119
39061005600,0,1711,709,102
39061005701,0,1682,561,88
39061005702,0,1906,831,114
39061005800,0,1795,1027,125
39061005900,0,674,313,26
39061006000,0,2648,816,92
39061006100,1,2098,663,54
39061006300,1,2798,1633,148
39061006400,1,3194,1850,160
39061006501,28,793,564,60
39061006502,32,2393,1281,119
39061006600,740,1558,1069,70
39061006800,1024,2322,1595,86
39061006900,459,1365,779,39
39061007000,1,2183,674,76
39061007100,0,2044,471,114
39061007200,0,1801,524,83
39061007300,0,3098,1149,127
39061007400,0,2201,654,63
39061007500,0,1527,466,42
39061007700,854,1004,794,41
39061008000,1,4822,3826,108
39061008100,0,1808,1106,72
39061008201,0,2225,1114,131
39061008202,0,3498,1865,126
39061008300,0,3192,1813,129
39061008400,0,1866,1072,51
39061008501,0,1460,950,51
39061008502,384,1055,1125,28
39061008601,660,1429,1054,40
39061008800,570,1255,827,39
39061009200,581,3523,2049,81
39061009300,385,2801,1469,94
39061009400,411,3016,1701,65
39061009500,358,3373,1641,71
39061009600,343,2082,1145,63
39061009700,534,2677,1425,91
39061009800,546,1444,864,43
39061009901,104,1963,772,71
39061009902,330,2321,1255,84
39061010002,650,2531,1638,98
39061010003,86,2370,1284,117
39061010004,88,6486,1942,212
39061010005,0,1748,959,82
39061010100,43,3126,1389,99
39061010201,0,7121,1979,243
39061010202,133,2044,864,71
39061010300,12,1414,906,42
39061010400,0,925,354,19
39061010500,0,936,439,31
39061010600,0,647,182,25
39061010700,5,5686,1371,171
39061010900,0,7364,1517,199
39061011000,0,3007,1810,143
39061011100,0,886,365,50
39061020401,7,144,49,1
39061020404,0,6,0,0
39061020707,0,0,0,1
39061020763,0,2,1,1
39061020764,0,10,12,0
39061020802,0,35,23,1
39061020811,0,1075,525,59
39061020901,3,185,84,15
39061020902,3,60,24,0
39061021003,0,2,0,0
39061021202,0,226,84,9
39061021302,0,123,82,8
39061021304,0,128,76,3
39061021401,13,557,269,18
39061021421,2,253,102,7
39061021422,0,40,23,1
39061021501,4,7,0,0
39061021504,0,274,42,8
39061021602,0,1,0,0
39061021701,8,55,30,3
39061021702,0,2,0,0
39061021801,0,101,71,12
39061021802,0,88,28,12
39061021900,3,221,128,12
39061022102,0,17,31,0
39061022200,0,704,153,16
39061022301,2,53,13,1
39061022400,56,127,62,2
39061022601,132,118,62,17
39061022602,0,44,5,3
39061022700,4,116,11,0
39061023001,52,0,0,0
39061023201,4,765,446,35
39061023222,0,51,6,0
39061023300,0,25,1,3
39061023400,0,268,157,7
39061023702,10,525,184,14
39061023800,0,72,45,4
39061023902,0,10,0,0
39061024200,0,346,168,16
39061024303,0,306,126,42
39061024401,0,85,42,3
39061024700,0,37,14,5
39061024800,0,20,5,1
39061024901,0,33,8,4
39061024903,0,0,1,0
39061025001,0,88,32,3
39061025002,0,21,3,3
39061025200,2,144,86,5
39061025300,23,371,244,8
39061025401,24,252,37,6
39061025402,16,245,39,15
39061025500,4,27,6,2
39061025600,0,16,6,4
39061025700,2,428,292,21
39061025800,0,375,184,14
39061026002,0,95,47,3
39061026103,0,134,34,4
39061026104,4,0,0,0
39061026300,148,2876,1133,138
39061026400,140,1702,1185,57
39061026500,19,5535,1923,282
39061026600,0,1659,438,42
39061026700,443,2544,1350,91
39061026800,0,835,100,32
39061026900,374,1728,1204,35
39061027000,1016,3860,2922,165
39061027100,0,2863,1776,115
39061027200,137,2578,1507,61
39061027300,40,0,0,0
39061027400,51,738,337,17
39061027500,0,317,70,14
39061027600,3,2223,484,103
39061027700,9,4273,1742,147
